source_mapping_id	source_descriptor	route_pattern	disposition	reason	closing_gate
SERVERAPPS-TEST2	serverApps/src/etc/WEB-INF/web.xml	/Test2	drop-superseded-descriptor-duplicate	Descriptor is not installed by Phase 3; no modern route is created.	phase5fFinalVerification
SERVERAPPS-WACCOUNT	serverApps/src/etc/WEB-INF/web.xml	/WAccount	drop-superseded-descriptor-duplicate	Deployed equivalent remains owned by /adempiere.	phase5fFinalVerification
SERVERAPPS-WCHAT	serverApps/src/etc/WEB-INF/web.xml	/WChat	drop-superseded-descriptor-duplicate	Deployed equivalent remains owned by /adempiere.	phase5fFinalVerification
SERVERAPPS-WVALUEPREFERENCE	serverApps/src/etc/WEB-INF/web.xml	/WValuePreference	drop-superseded-descriptor-duplicate	Deployed equivalent remains owned by /adempiere.	phase5fFinalVerification
SERVERAPPS-WZOOM	serverApps/src/etc/WEB-INF/web.xml	/WZoom	drop-superseded-descriptor-duplicate	Deployed equivalent remains owned by /adempiere.	phase5fFinalVerification
SERVERAPPS-WCOUNTER	serverApps/src/etc/WEB-INF/web.xml	/WCounter	drop-superseded-descriptor-duplicate	Descriptor is not installed by Phase 3; no modern route is created.	phase5fFinalVerification
SERVERAPPS-WFIELDUPDATE	serverApps/src/etc/WEB-INF/web.xml	/WFieldUpdate	drop-superseded-descriptor-duplicate	Deployed equivalent remains owned by /adempiere.	phase5fFinalVerification
SERVERAPPS-WLOCATION	serverApps/src/etc/WEB-INF/web.xml	/WLocation	drop-superseded-descriptor-duplicate	Deployed equivalent remains owned by /adempiere.	phase5fFinalVerification
SERVERAPPS-WLOGIN	serverApps/src/etc/WEB-INF/web.xml	/WLogin	drop-superseded-descriptor-duplicate	Deployed equivalent remains owned by /adempiere.	phase5fFinalVerification
SERVERAPPS-WLOOKUP	serverApps/src/etc/WEB-INF/web.xml	/WLookup	drop-superseded-descriptor-duplicate	Deployed equivalent remains owned by /adempiere.	phase5fFinalVerification
SERVERAPPS-WMENU	serverApps/src/etc/WEB-INF/web.xml	/WMenu	drop-superseded-descriptor-duplicate	Deployed equivalent remains owned by /adempiere.	phase5fFinalVerification
SERVERAPPS-WPROCESS	serverApps/src/etc/WEB-INF/web.xml	/WProcess	drop-superseded-descriptor-duplicate	Deployed equivalent remains owned by /adempiere.	phase5fFinalVerification
SERVERAPPS-WREPORT	serverApps/src/etc/WEB-INF/web.xml	/WReport	drop-superseded-descriptor-duplicate	Deployed equivalent remains owned by /adempiere.	phase5fFinalVerification
SERVERAPPS-WREQUEST	serverApps/src/etc/WEB-INF/web.xml	/WRequest	drop-superseded-descriptor-duplicate	Deployed equivalent remains owned by /adempiere.	phase5fFinalVerification
SERVERAPPS-WSTART	serverApps/src/etc/WEB-INF/web.xml	/WStart	drop-superseded-descriptor-duplicate	Deployed equivalent remains owned by /adempiere.	phase5fFinalVerification
SERVERAPPS-WSTATUS	serverApps/src/etc/WEB-INF/web.xml	/WStatus	drop-superseded-descriptor-duplicate	Deployed equivalent remains owned by /adempiere.	phase5fFinalVerification
SERVERAPPS-WTASK	serverApps/src/etc/WEB-INF/web.xml	/WTask	drop-superseded-descriptor-duplicate	Deployed equivalent remains owned by /adempiere.	phase5fFinalVerification
SERVERAPPS-WWINDOW	serverApps/src/etc/WEB-INF/web.xml	/WWindow	drop-superseded-descriptor-duplicate	Deployed equivalent remains owned by /adempiere.	phase5fFinalVerification
SERVERAPPS-WWORKFLOW	serverApps/src/etc/WEB-INF/web.xml	/WWorkflow	drop-superseded-descriptor-duplicate	Deployed equivalent remains owned by /adempiere.	phase5fFinalVerification
