# kind	location	match	owner
reflection	base/src/org/eevolution/services/dsl/ProcessBuilder.java:240	clazz = Class.forName(className);	Phase 2: reviewed application extension/reflection seam
reflection	base/src/org/eevolution/services/dsl/ProcessBuilder.java:243	constructor = clazz.getDeclaredConstructor(ASyncProcess.class, ProcessInfo.class, Trx.class);	Phase 2: reviewed application extension/reflection seam
reflection	base/src/org/eevolution/services/dsl/ProcessBuilder.java:247	constructor = clazz.getDeclaredConstructor(ASyncProcess.class, Integer.class, ProcessInfo.class, Trx.class);	Phase 2: reviewed application extension/reflection seam
reflection	base/src/org/spin/model/MADPackageExpCustom.java:125	Class<?> clazz = Class.forName(className);	Phase 2: reviewed application extension/reflection seam
reflection	base/src/org/spin/model/MADPackageExpCustom.java:163	Constructor<?> constructor = clazz.getDeclaredConstructor(new Class[]{});	Phase 2: reviewed application extension/reflection seam
reflection	base/src/org/spin/process/GenerateDocsFromMenu.java:68	Class<?> clazz = Class.forName(getDocsExportFormat());	Phase 2: reviewed application extension/reflection seam
reflection	base/src/org/spin/queue/notification/util/UpdateHandlerUtil.java:106	Class<?> clazz = Class.forName(handler);	Phase 2: reviewed application extension/reflection seam
reflection	base/src/org/spin/queue/notification/util/UpdateHandlerUtil.java:147	Constructor<?> constructor = clazz.getDeclaredConstructor();	Phase 2: reviewed application extension/reflection seam
reflection	base/src/org/spin/queue/util/QueueLoader.java:117	Class<?> clazz = Class.forName(className);	Phase 2: reviewed application extension/reflection seam
reflection	base/src/org/spin/queue/util/QueueLoader.java:151	Constructor<?> constructor = clazz.getDeclaredConstructor();	Phase 2: reviewed application extension/reflection seam
reflection	base/src/org/spin/util/ReportExportHandler.java:122	constructor = clazz.getDeclaredConstructor(new Class[]{Properties.class, ReportEngine.class});	Phase 2: reviewed application extension/reflection seam
reflection	base/src/org/spin/util/ReportExportHandler.java:87	Class<?> clazz = Class.forName(className);	Phase 2: reviewed application extension/reflection seam
reflection	base/src/org/spin/util/SetupUtil.java:65	clazz = Class.forName(className);	Phase 2: reviewed application extension/reflection seam
reflection	base/src/org/spin/util/SetupUtil.java:80	Constructor<?> constructor = clazz.getDeclaredConstructor();	Phase 2: reviewed application extension/reflection seam
reflection	base/src/org/spin/util/TokenGeneratorHandler.java:137	Class<?> clazz = Class.forName(className);	Phase 2: reviewed application extension/reflection seam
reflection	base/src/org/spin/util/TokenGeneratorHandler.java:177	Constructor<?> constructor = clazz.getDeclaredConstructor();	Phase 2: reviewed application extension/reflection seam
reflection	base/src/org/spin/util/support/AppSupportHandler.java:107	Class<?> clazz = Class.forName(className);	Phase 2: reviewed application extension/reflection seam
reflection	base/src/org/spin/util/support/AppSupportHandler.java:148	Constructor<?> constructor = clazz.getDeclaredConstructor();	Phase 2: reviewed application extension/reflection seam
module-flag	build.xml:76	<jvmarg value="--add-exports"/>	Phase 2: runtime/module flag review
module-flag	build.xml:78	<jvmarg value="--add-opens"/>	Phase 2: runtime/module flag review
reflection	client/src/org/adempiere/Adempiere.java:626	Class.forName(className);	Phase 2: reviewed application extension/reflection seam
reflection	client/src/org/adempiere/Adempiere.java:629	Class.forName(className);	Phase 2: reviewed application extension/reflection seam
reflection	client/src/org/adempiere/Adempiere.java:665	Class<?> startClass = Class.forName(className);	Phase 2: reviewed application extension/reflection seam
reflection	client/src/org/adempiere/Adempiere.java:666	startClass.getDeclaredConstructor().newInstance();	Phase 2: reviewed application extension/reflection seam
reflection	client/src/org/adempiere/controller/FileImportController.java:177	constructor = clazz.getDeclaredConstructor(new Class[]{Properties.class});	Phase 2: reviewed application extension/reflection seam
reflection	client/src/org/adempiere/plaf/AdempierePLAF.java:327	Class.forName("com.jgoodies.looks.plastic.Plastic3DLookAndFeel");	Phase 2: legacy version branch review
reflection	client/src/org/adempiere/plaf/AdempierePLAF.java:480	lafClass = Class.forName(plaf.getValue());	Phase 2: legacy version branch review
reflection	client/src/org/adempiere/plaf/AdempierePLAF.java:511	Class<?> c = Class.forName(theme.getValue());	Phase 2: legacy version branch review
version-gate	client/src/org/adempiere/plaf/AdempierePLAF.java:667	String jVersion = System.getProperty("java.version");	Phase 2: legacy version branch review
reflection	client/src/org/adempiere/plaf/AdempierePLAF.java:691	startClass = Class.forName(className);	Phase 2: legacy version branch review
reflection	client/src/org/compiere/apps/ProcessCtl.java:558	Class<?> processClass = Class.forName(processInstance.getClassName());	Phase 2: reviewed application extension/reflection seam
reflection	client/src/org/compiere/apps/form/FormFrame.java:336	m_panel = (FormPanel)Class.forName(className).newInstance(); 	Phase 2: reviewed application extension/reflection seam
reflection	client/src/org/compiere/apps/form/VPayPrint.java:368	Class<?> clazz = Class.forName(paymentExportClass);	Phase 2: reviewed application extension/reflection seam
version-gate	client/src/org/compiere/grid/ed/AutoCompletion.java:108	hidePopupOnFocusLoss=System.getProperty("java.version").startsWith("1.5"); 	Phase 2: legacy version branch review
reflection	com.kkalice.adempiere.migrate/src/com/kkalice/adempiere/migrate/DBConnection.java:171	Class.forName(getDriver());	Phase 2: reviewed application extension/reflection seam
reflection	com.kkalice.adempiere.migrate/src/com/kkalice/adempiere/migrate/DBConnection.java:207	Class.forName(getDriver());	Phase 2: reviewed application extension/reflection seam
reflection	com.kkalice.adempiere.migrate/src/com/kkalice/adempiere/migrate/DBEngine.java:1165	engineClass = (Class<DBEngineInterface>) Class.forName(interfaceName);	Phase 2: reviewed application extension/reflection seam
reflection	com.kkalice.adempiere.migrate/src/com/kkalice/adempiere/migrate/Gui.java:1625	Class.forName(driver);	Phase 2: reviewed application extension/reflection seam
reflection	com.kkalice.adempiere.migrate/src/com/kkalice/adempiere/migrate/HelpAbout.java:138	Class ademp = Class.forName("org.compiere.Adempiere", false, this.getClass().getClassLoader());	Phase 2: reviewed application extension/reflection seam
version-gate	demo/first-modern-business/contract.properties:6	java.version=21	First modern business demo: reviewed JDK 21 runtime pin
internal-import	glassfishfacet/src/org/adempiere/as/glassfish/AdempiereLoginModule.java:21	import com.sun.appserv.security.AppservPasswordLoginModule; 	Phase 3: quarantined GlassFish adapter
internal-import	glassfishfacet/src/org/adempiere/as/glassfish/AdempiereRealm.java:15	import com.sun.appserv.security.AppservRealm; 	Phase 3: quarantined GlassFish adapter
internal-import	glassfishfacet/src/org/adempiere/as/glassfish/AdempiereRealm.java:16	import com.sun.enterprise.security.auth.realm.BadRealmException; 	Phase 3: quarantined GlassFish adapter
internal-import	glassfishfacet/src/org/adempiere/as/glassfish/AdempiereRealm.java:17	import com.sun.enterprise.security.auth.realm.IASRealm; 	Phase 3: quarantined GlassFish adapter
internal-import	glassfishfacet/src/org/adempiere/as/glassfish/AdempiereRealm.java:18	import com.sun.enterprise.security.auth.realm.InvalidOperationException; 	Phase 3: quarantined GlassFish adapter
internal-import	glassfishfacet/src/org/adempiere/as/glassfish/AdempiereRealm.java:19	import com.sun.enterprise.security.auth.realm.NoSuchRealmException; 	Phase 3: quarantined GlassFish adapter
internal-import	glassfishfacet/src/org/adempiere/as/glassfish/AdempiereRealm.java:20	import com.sun.enterprise.security.auth.realm.NoSuchUserException; 	Phase 3: quarantined GlassFish adapter
internal-import	glassfishfacet/src/org/adempiere/as/glassfish/GlassFish.java:22	import com.sun.appserv.security.ProgrammaticLogin; 	Phase 3: quarantined GlassFish adapter
reflection	glassfishfacet/src/org/adempiere/as/glassfish/GlassFish.java:36	Class.forName("com.sun.enterprise.naming.SerialInitContextFactory"); 	Phase 3: quarantined GlassFish adapter
version-gate	gradle/phase2/runtime.gradle:15	languageVersion = JavaLanguageVersion.of(Integer.parseInt(phase2RuntimeProperties.getProperty('java.version')))	Phase 2: JDK/runtime verification tooling
version-gate	gradle/phase2/runtime.properties:1	java.version=21	Phase 2: JDK/runtime verification tooling
module-flag	install/Adempiere/AdempiereEnvTemplate.properties:12	ADEMPIERE_JAVA_OPTIONS=-Dfile.encoding=UTF-8 -Xms128m -Xmx1024m --add-opens java.base/java.lang=ALL-UNNAMED 	Phase 2: runtime/module flag review
version-gate	install/src/org/compiere/install/JavaToolSupport.java:150	String error = "Missing java.specification.version for Java Home: "	Phase 2: JDK validation/keytool replacement
version-gate	install/src/org/compiere/install/JavaToolSupport.java:163	String error = "Malformed java.specification.version '" + specificationVersion	Phase 2: JDK validation/keytool replacement
version-gate	install/src/org/compiere/install/JavaToolSupport.java:372	throw new IllegalArgumentException("Invalid java.specification.version: "	Phase 2: JDK validation/keytool replacement
version-gate	install/src/org/compiere/install/JavaToolSupport.java:46	private static final String JAVA_SPECIFICATION_VERSION = "java.specification.version";	Phase 2: JDK validation/keytool replacement
version-gate	install/src/test/java/org/compiere/install/JavaToolSupportTest.java:110	assertTrue(result.getErrorMessage().contains("Missing java.specification.version"));	Phase 2: JDK validation/keytool test coverage
version-gate	install/src/test/java/org/compiere/install/JavaToolSupportTest.java:131	+ "echo ' java.specification.version = 21'\n"	Phase 2: JDK validation/keytool test coverage
version-gate	install/src/test/java/org/compiere/install/JavaToolSupportTest.java:181	script.append("echo ' java.specification.version = ")	Phase 2: JDK validation/keytool test coverage
version-gate	install/src/test/java/org/compiere/install/JavaToolSupportTest.java:99	assertTrue(result.getErrorMessage().contains("Malformed java.specification.version"));	Phase 2: JDK validation/keytool test coverage
reflection	jbossfacet/src/org/adempiere/as/jboss/JBoss.java:31	Class.forName("org.jboss.security.jndi.JndiLoginInitialContextFactory"); 	Phase 2: reviewed application extension/reflection seam
reflection	migration/src/oracle/DBDifference.java:1908	Class.forName(driverName); 	Phase 2: reviewed application extension/reflection seam
reflection	org.adempiere.cohort/src/bridge/java/org/adempiere/web/bridge/CohortBridgeStartupListener.java:55	Class.forName(required, false, getClass().getClassLoader());	Phase 2: reviewed application extension/reflection seam
internal-import	org.adempiere.cohort/src/bridgeTest/java/org/adempiere/web/bridge/CohortRoutingFilterTest.java:47	import com.sun.net.httpserver.HttpServer;	Phase 5f: supported JDK loopback HTTP test fixture
internal-import	org.adempiere.cohort/src/contextBridgeTest/java/org/adempiere/web/context/ContextRoutingFilterTest.java:23	import com.sun.net.httpserver.HttpServer;	Phase 5f: supported JDK loopback HTTP test fixture
internal-import	org.adempiere.cohort/src/test/java/org/adempiere/web/route/LoopbackProxyTest.java:17	import com.sun.net.httpserver.HttpServer;	Phase 5f: supported JDK loopback HTTP test fixture
reflection	org.adempiere.pos/src/main/java/base/org/adempiere/pos/util/POSTicketHandler.java:104	constructor = clazz.getDeclaredConstructor(new Class[]{CPOS.class});	Phase 2: reviewed application extension/reflection seam
reflection	org.adempiere.pos/src/main/java/base/org/adempiere/pos/util/POSTicketHandler.java:91	Class<?> clazz = Class.forName(className);	Phase 2: reviewed application extension/reflection seam
reflection	org.adempiere.production/src/main/java/base/org/compiere/production/process/ReplenishReportProduction.java:393	Class<?> clazz = Class.forName(className);	Phase 2: reviewed application extension/reflection seam
reflection	org.compiere.mobile/WEB-INF/src/org/compiere/mobile/WProcessCtl.java:456	Class myClass = Class.forName(m_pi.getClassName()); 	Phase 2: reviewed application extension/reflection seam
reflection	org.eevolution.freight/src/main/java/base/org/eevolution/freight/engine/FreightEngine.java:101	constructor = cl.getDeclaredConstructor();	Phase 2: reviewed application extension/reflection seam
reflection	org.eevolution.freight/src/main/java/base/org/eevolution/freight/engine/FreightEngine.java:72	return (Class<T>) Class.forName(className);	Phase 2: reviewed application extension/reflection seam
reflection	org.eevolution.freight/src/main/java/base/org/eevolution/freight/engine/FreightEngine.java:91	constructor = cl.getDeclaredConstructor();	Phase 2: reviewed application extension/reflection seam
reflection	org.eevolution.hr_and_payroll/src/main/java/base/org/spin/hr/util/PayrollEngineHandler.java:129	Constructor<?> constructor = clazz.getDeclaredConstructor();	Phase 2: reviewed application extension/reflection seam
reflection	org.eevolution.hr_and_payroll/src/main/java/base/org/spin/hr/util/PayrollEngineHandler.java:89	Class<?> clazz = Class.forName(className);	Phase 2: reviewed application extension/reflection seam
reflection	org.eevolution.hr_and_payroll/src/main/java/base/org/spin/pr/model/MHRProcessReport.java:151	Class<?> clazz = Class.forName(className);	Phase 2: reviewed application extension/reflection seam
reflection	org.eevolution.hr_and_payroll/src/main/java/base/org/spin/pr/model/MHRProcessReport.java:189	Constructor<?> constructor = clazz.getDeclaredConstructor(new Class[]{Properties.class});	Phase 2: reviewed application extension/reflection seam
reflection	org.eevolution.hr_and_payroll/src/main/java/ui/swing/org/eevolution/form/VHRPayPrint.java:360	Class<?> clazz = Class.forName(m_PaymentExportClass);	Phase 2: reviewed application extension/reflection seam
reflection	org.eevolution.hr_and_payroll/src/main/java/ui/zk/org/eevolution/form/WHRPayPrint.java:370	Class<?> clazz = Class.forName(m_PaymentExportClass);	Phase 2: reviewed application extension/reflection seam
reflection	org.eevolution.manufacturing/src/main/java/base/org/eevolution/manufacturing/engine/forecast/ForecastEngine.java:122	return (Class<T>) Class.forName(getPackageName() + "." + className);	Phase 2: reviewed application extension/reflection seam
reflection	org.eevolution.manufacturing/src/main/java/base/org/eevolution/manufacturing/engine/forecast/ForecastEngine.java:157	constructor = cl.getDeclaredConstructor();	Phase 2: reviewed application extension/reflection seam
reflection	org.eevolution.manufacturing/src/main/java/base/org/eevolution/manufacturing/engine/forecast/ForecastEngine.java:168	constructor = cl.getDeclaredConstructor();	Phase 2: reviewed application extension/reflection seam
reflection	org.eevolution.warehouse/src/main/java/base/org/eevolution/wms/engine/WMRuleEngine.java:192	constructor = cl.getDeclaredConstructor();	Phase 2: reviewed application extension/reflection seam
reflection	org.eevolution.warehouse/src/main/java/base/org/eevolution/wms/engine/WMRuleEngine.java:204	constructor = cl.getDeclaredConstructor();	Phase 2: reviewed application extension/reflection seam
reflection	org.eevolution.warehouse/src/main/java/base/org/eevolution/wms/engine/WMRuleEngine.java:227	return (Class<T>) Class.forName(getPackageName() + "." + className);	Phase 2: reviewed application extension/reflection seam
reflection	org.spin.finance_management/src/main/java/base/org/spin/investment/model/MFMFunctionalSetting.java:108	Constructor<?> constructor = clazz.getDeclaredConstructor(new Class[]{MFMFunctionalSetting.class});	Phase 2: reviewed application extension/reflection seam
reflection	org.spin.finance_management/src/main/java/base/org/spin/investment/model/MFMFunctionalSetting.java:70	Class<?> clazz = Class.forName(className);	Phase 2: reviewed application extension/reflection seam
module-flag	scripts/phase2/probe-tomcat9.sh:32	export CATALINA_OPTS="--add-opens java.base/java.lang=ALL-UNNAMED"	Phase 2: JDK/runtime verification tooling
version-gate	scripts/phase2/verify-runtime-pins.sh:6	expected_java=$(sed -n 's/^java.version=//p' gradle/phase2/runtime.properties)	Phase 2: JDK/runtime verification tooling
module-flag	scripts/phase3/smoke-tomcat9.sh:41	export CATALINA_OPTS="-DADEMPIERE_HOME=$adempiere_home -DPropertyFile=$adempiere_home/AdempiereEnv.properties --add-opens java.base/java.lang=ALL-UNNAMED"	Phase 3: installed runtime verification tooling
module-flag	scripts/phase4/smoke-compatibility-router.sh:90	export CATALINA_OPTS="-DADEMPIERE_HOME=$adempiere_home -DPropertyFile=$adempiere_home/AdempiereEnv.properties --add-opens java.base/java.lang=ALL-UNNAMED"	Phase 4: SOAP contract and runtime verification tooling
module-flag	scripts/phase4/smoke-xfire-oracle.sh:65	export CATALINA_OPTS="-DADEMPIERE_HOME=$adempiere_home -DPropertyFile=$adempiere_home/AdempiereEnv.properties --add-opens java.base/java.lang=ALL-UNNAMED"	Phase 4: SOAP contract and runtime verification tooling
module-flag	scripts/phase5/run-legacy-web-oracle-lane.sh:58	# --add-opens the product needs. Replacing CATALINA_OPTS instead of extending it	Phase 5: legacy web oracle verification tooling
reflection	serverApps/src/main/servlet/org/compiere/www/WProcessCtl.java:460	Class myClass = Class.forName(m_pi.getClassName()); 	Phase 2: reviewed application extension/reflection seam
reflection	serverRoot/src/main/server/org/compiere/server/ReplicationProcessor.java:116	Class clazz = Class.forName(javaClass); 	Phase 2: reviewed application extension/reflection seam
version-gate	tools/lib/ant/apache-ant-1.10.10/lib/libraries.properties:77	tcljava.version=${jacl.version}	Phase 2: Ant dependency property, not a JVM version gate
reflection	tools/src/org/adempiere/legacy/apache/ecs/HtmlColor.java:767	colObject = Class.forName("org.apache.ecs.HtmlColor") 	Phase 2: reviewed application extension/reflection seam
reflection	webCM/src/main/servlet/org/compiere/cm/utils/RequestAnalyzer.java:220	Class clazz = Class.forName(className); 	Phase 2: reviewed application extension/reflection seam
reflection	webCM/src/main/servlet/org/compiere/cm/utils/RequestAnalyzer.java:248	Constructor constructor = thisProcClass.getDeclaredConstructor(new Class[]{HttpServletRequest.class, Properties.class}); 	Phase 2: reviewed application extension/reflection seam
reflection	zkwebui/WEB-INF/src/org/adempiere/webui/apps/form/WPayPrint.java:359	Class<?> clazz = Class.forName(paymentExportClass);	Phase 2: reviewed application extension/reflection seam
