# Phase 5g-0: every AD_Column that declares a callout.
#
# A callout fires on field change during a write. If a Phase 5g fixture
# touches one of these columns, part of the fixture's database effect is
# owned by the callout, and the fixture must say so rather than attribute
# the whole effect to the window.
#
# Generated by scripts/phase5/generate-phase5g-inventories.py from
# db/ddlutils/adempiere-data.xml. Do not hand-edit.
ad_column_id	ad_table_id	column_name	entity_type	is_active	callout
3848	333	C_Tax_ID	D	Y	org.compiere.model.CalloutInvoice.amt
4031	260	Discount	D	Y	org.compiere.model.CalloutOrder.amt
4917	392	C_BankAccount_ID	D	Y	org.compiere.model.CalloutBankStatement.bankAccount
4937	393	C_Payment_ID	D	Y	org.compiere.model.CalloutBankStatement.payment
5160	393	ChargeAmt	D	Y	org.compiere.model.CalloutBankStatement.amount
5161	393	InterestAmt	D	Y	org.compiere.model.CalloutBankStatement.amount
5220	393	StmtAmt	D	Y	org.compiere.model.CalloutBankStatement.amount
5252	407	StatementDate	D	Y	org.compiere.model.CalloutEngine.dateAcct
5297	410	Amount	D	Y	org.compiere.model.CalloutCashJournal.amounts
5299	335	C_Currency_ID	D	Y	org.compiere.model.CalloutPayment.amounts
5301	335	DiscountAmt	D	Y	org.compiere.model.CalloutPayment.amounts
5302	335	C_DocType_ID	D	Y	org.compiere.model.CalloutPayment.docType
5303	335	PayAmt	D	Y	org.compiere.model.CalloutPayment.amounts
5354	410	C_Invoice_ID	D	Y	org.compiere.model.CalloutCashJournal.invoice
5355	335	C_Invoice_ID	D	Y	org.compiere.model.CalloutPayment.invoice
5399	335	DateTrx	D	Y	org.compiere.model.CalloutEngine.dateAcct
5441	417	R_MailText_ID	D	Y	org.compiere.model.CalloutRequest.copyMail
5639	427	C_Invoice_ID	D	Y	org.compiere.model.CalloutPaySelection.invoice
5640	427	PayAmt	D	Y	org.compiere.model.CalloutPaySelection.payAmt
5769	434	PlannedQty	D	Y	org.compiere.model.CalloutProject.planned
5770	434	PlannedPrice	D	Y	org.compiere.model.CalloutProject.planned
6475	335	WriteOffAmt	D	Y	org.compiere.model.CalloutPayment.amounts
6477	410	DiscountAmt	D	Y	org.compiere.model.CalloutCashJournal.amounts
6478	410	WriteOffAmt	D	Y	org.compiere.model.CalloutCashJournal.amounts
6775	260	S_ResourceAssignment_ID	D	Y	org.compiere.model.CalloutAssignment.product; org.compiere.model.CalloutOrder.amt; org.compiere.model.CalloutOrder.qty
6776	333	S_ResourceAssignment_ID	D	Y	org.compiere.model.CalloutAssignment.product
6871	488	S_ResourceAssignment_ID	D	Y	org.compiere.model.CalloutAssignment.product
6873	488	C_Currency_ID	D	Y	org.compiere.model.CalloutTimeExpense.amount
6874	488	ExpenseAmt	D	Y	org.compiere.model.CalloutTimeExpense.amount
6876	488	M_Product_ID	D	Y	org.compiere.model.CalloutTimeExpense.product
7034	335	OverUnderAmt	D	Y	org.compiere.model.CalloutPayment.amounts
7035	335	IsOverUnderPayment	D	Y	org.compiere.model.CalloutPayment.amounts
7791	417	R_RequestType_ID	D	Y	org.compiere.model.CalloutRequest.type
8549	333	TaxAmt	D	Y	org.compiere.model.CalloutInvoice.amt
8550	322	M_AttributeSetInstance_ID	D	Y	org.compiere.model.CalloutInventory.product
8764	259	Bill_BPartner_ID	D	Y	org.compiere.model.CalloutOrder.bPartnerBill
8767	260	M_AttributeSetInstance_ID	D	Y	org.compiere.model.CalloutOrder.qty
8772	320	M_AttributeSetInstance_ID	D	Y	org.compiere.model.CalloutInOut.asi
8984	335	C_Charge_ID	D	Y	org.compiere.model.CalloutPayment.charge
10265	335	C_ConversionType_ID	D	Y	org.compiere.model.CalloutPayment.amounts
10295	224	C_ConversionType_ID	D	Y	org.compiere.model.CalloutGLJournal.rate
10296	226	C_ConversionType_ID	D	Y	org.compiere.model.CalloutGLJournal.rate
10337	393	StatementLineDate	D	Y	org.compiere.model.CalloutEngine.dateAcct
11490	703	PriceActual	D	Y	org.compiere.model.CalloutRequisition.amt
11493	703	Qty	D	Y	org.compiere.model.CalloutRequisition.amt
11501	703	M_Product_ID	D	Y	org.compiere.model.CalloutRequisition.product
12118	661	C_DocType_ID	D	Y	org.adempiere.model.CalloutRMA.docType
12868	320	QtyEntered	D	Y	org.compiere.model.CalloutInOut.qty
12869	333	QtyEntered	D	Y	org.compiere.model.CalloutInvoice.qty; org.compiere.model.CalloutInvoice.amt
12870	333	PriceEntered	D	Y	org.compiere.model.CalloutInvoice.amt
12875	260	PriceEntered	D	Y	org.compiere.model.CalloutOrder.amt
12876	260	QtyEntered	D	Y	org.compiere.model.CalloutOrder.qty; org.compiere.model.CalloutOrder.amt
12925	335	C_Order_ID	D	Y	org.compiere.model.CalloutPayment.order
13400	768	C_DocType_ID	D	Y	org.compiere.model.CalloutInvoiceBatch.docType
13402	768	DateInvoiced	D	Y	org.compiere.model.CalloutInvoiceBatch.date
13404	768	C_BPartner_ID	D	Y	org.compiere.model.CalloutInvoiceBatch.bPartner
13405	768	C_BPartner_Location_ID	D	Y	org.compiere.model.CalloutInvoiceBatch.tax
13407	768	C_Charge_ID	D	Y	org.compiere.model.CalloutInvoiceBatch.charge
13408	768	QtyEntered	D	Y	org.compiere.model.CalloutInvoiceBatch.amt
13409	768	PriceEntered	D	Y	org.compiere.model.CalloutInvoiceBatch.amt
13410	768	C_Tax_ID	D	Y	org.compiere.model.CalloutInvoiceBatch.amt
13422	768	IsTaxIncluded	D	Y	org.compiere.model.CalloutInvoiceBatch.amt
13492	417	R_StandardResponse_ID	D	Y	org.compiere.model.CalloutRequest.copyResponse
14328	812	C_Invoice_ID	D	Y	org.compiere.model.CalloutPaymentAllocate.invoice
14329	812	Amount	D	Y	org.compiere.model.CalloutPaymentAllocate.amounts
14330	812	DiscountAmt	D	Y	org.compiere.model.CalloutPaymentAllocate.amounts
14331	812	WriteOffAmt	D	Y	org.compiere.model.CalloutPaymentAllocate.amounts
14332	812	OverUnderAmt	D	Y	org.compiere.model.CalloutPaymentAllocate.amounts
15132	854	IsActive	D	Y	org.compiere.cm.CalloutTemplate.invalidate
15141	854	Value	D	Y	org.compiere.cm.CalloutTemplate.invalidate
15142	854	IsInclude	D	Y	org.compiere.cm.CalloutTemplate.invalidate
15143	854	IsUseAd	D	Y	org.compiere.cm.CalloutTemplate.invalidate
15144	854	IsNews	D	Y	org.compiere.cm.CalloutTemplate.invalidate
15145	854	Elements	D	Y	org.compiere.cm.CalloutTemplate.invalidate
15146	854	TemplateXST	D	Y	org.compiere.cm.CalloutTemplate.invalidate
15482	854	IsSummary	D	Y	org.compiere.cm.CalloutTemplate.invalidate
50184	112	StoreAttachmentsOnFileSystem	D	Y	org.compiere.model.CalloutClient.storeAttachmentOnFileSystem
50211	209	M_Product_Category_Parent_ID	D	Y	org.compiere.model.CalloutProductCategory.testForLoop
50214	112	StoreArchiveOnFileSystem	D	Y	org.compiere.model.CalloutClient.storeArchiveOnFileSystem
52009	319	M_RMA_ID	D	Y	org.compiere.model.CalloutInOut.rma
52010	320	M_RMALine_ID	D	Y	org.compiere.model.CalloutInOut.rmaLine
53333	53018	M_Product_ID	EE01	Y	org.eevolution.model.CalloutBOM.getdefaults
53364	53019	M_Product_ID	EE01	Y	org.eevolution.model.CalloutBOM.parent
53581	53025	QtyEntered	EE01	Y	org.eevolution.model.CalloutBOM.qtyLine
53584	53025	QtyRequired	EE01	Y	org.eevolution.model.CalloutBOM.qtyLine
53623	53027	M_Product_ID	EE01	Y	org.eevolution.model.CalloutOrder.product
53669	53027	QtyEntered	EE01	Y	org.eevolution.model.CalloutOrder.qty;org.eevolution.model.CalloutOrder.qtyBatch
53826	53035	MovementQty	EE01	Y	org.eevolution.model.CalloutCostCollector.duration
53830	53035	PP_Order_ID	EE01	Y	org.eevolution.model.CalloutCostCollector.order
53831	53035	PP_Order_Node_ID	EE01	Y	org.eevolution.model.CalloutCostCollector.node
53866	53037	AD_Org_ID	EE01	Y	org.eevolution.model.CalloutDistributionOrder.bPartner
53869	53037	C_BPartner_ID	EE01	Y	org.compiere.model.CalloutInOut.bpartner
53873	53037	C_DocType_ID	EE01	Y	org.compiere.model.CalloutInOut.docType
53875	53037	C_Order_ID	EE01	Y	org.compiere.model.CalloutInOut.order
53928	53038	QtyOrdered	EE01	Y	org.eevolution.model.CalloutDistributionOrder.qty
53929	53038	M_Product_ID	EE01	Y	org.eevolution.model.CalloutDistributionOrder.setLocatorTo
53933	53038	C_UOM_ID	EE01	Y	org.eevolution.model.CalloutDistributionOrder.qty
53934	53038	ConfirmedQty	EE01	Y	org.eevolution.model.CalloutDistributionOrder.qtyConfirmed
53947	53038	M_AttributeSetInstanceTo_ID	EE01	Y	org.eevolution.model.CalloutDistributionOrder.qty
53948	53038	M_AttributeSetInstance_ID	EE01	Y	org.eevolution.model.CalloutDistributionOrder.qty
53954	53038	QtyEntered	EE01	Y	org.eevolution.model.CalloutDistributionOrder.qty
54771	53087	HR_Concept_ID	EE02	Y	org.eevolution.model.CalloutPayroll.ColumnType
55514	53119	C_Period_ID	D	Y	org.compiere.model.CalloutGLJournal.period
55516	53119	DateDoc	D	Y	org.compiere.model.CalloutGLJournal.period
55526	53119	DateAcct	D	Y	org.compiere.model.CalloutGLJournal.period
55549	53121	C_Period_ID	D	Y	org.compiere.model.CalloutGLJournal.period
55551	53121	DateDoc	D	Y	org.compiere.model.CalloutGLJournal.period
55561	53121	DateAcct	D	Y	org.compiere.model.CalloutGLJournal.period
55574	53122	C_Period_ID	D	Y	org.compiere.model.CalloutGLJournal.period
55581	53122	DateAcct	D	Y	org.compiere.model.CalloutGLJournal.period
55601	53123	A_Depreciation_ID	D	Y	org.compiere.FA.CalloutFA.Field_Clear
55603	53123	A_Depreciation_Table_Header_ID	D	Y	org.compiere.FA.CalloutFA.Table_Period
55639	53127	AD_Client_ID	D	Y	org.compiere.model.CalloutGLJournal.period
55643	53127	C_Period_ID	D	Y	org.compiere.model.CalloutGLJournal.period
55645	53127	DateDoc	D	Y	org.compiere.model.CalloutGLJournal.period
55681	53128	DateAcct	D	Y	org.compiere.model.CalloutGLJournal.period
55684	53128	C_Period_ID	D	Y	org.compiere.model.CalloutGLJournal.period
55696	53129	C_Period_ID	D	Y	org.compiere.model.CalloutGLJournal.period
55706	53129	DateAcct	D	Y	org.compiere.model.CalloutGLJournal.period
55784	53130	A_Depreciation_Table_Header_ID	D	Y	org.compiere.FA.CalloutFA.Table_Period
