# path	namespace	classification	owner	disposition	closing_gate
org.compiere.mobile/WEB-INF/src/org/compiere/mobile/WTask.java	javax.servlet	jakarta-web	org.compiere.mobile	migrate	5f
org.compiere.mobile/WEB-INF/src/org/compiere/mobile/WWindow.java	javax.servlet	jakarta-web	org.compiere.mobile	migrate	5f
org.compiere.mobile/WEB-INF/src/org/compiere/mobile/WWindowStatus.java	javax.servlet	jakarta-web	org.compiere.mobile	migrate	5f
org.compiere.mobile/WEB-INF/src/org/compiere/mobile/WWorkflow.java	javax.servlet	jakarta-web	org.compiere.mobile	migrate	5f
org.compiere.mobile/WEB-INF/src/org/compiere/mobile/WZoom.java	javax.servlet	jakarta-web	org.compiere.mobile	migrate	5f
org.compiere.mobile/build.xml	javax.servlet	jakarta-web	org.compiere.mobile	migrate	5f
serverApps/build.xml	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/wstore/AdvertisementServlet.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/wstore/AssetServlet.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/wstore/BasketServlet.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/wstore/CheckOutLinkTag.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/wstore/CheckOutServlet.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/wstore/Click.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/wstore/Counter.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/wstore/EMailServlet.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/wstore/ExpenseServlet.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/wstore/InfoLinkTag.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/wstore/InfoServlet.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/wstore/InvoiceServlet.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/wstore/IssueReportServlet.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/wstore/JSPEnv.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/wstore/LocationServlet.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/wstore/LocationTag.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/wstore/LoginLinkTag.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/wstore/LoginServlet.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/wstore/MessageTag.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/wstore/NoteServlet.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/wstore/OrderServlet.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/wstore/PaymentServlet.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/wstore/PriceListTag.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/wstore/ProductCategoryListTag.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/wstore/ProductServlet.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/wstore/RegistrationServlet.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/wstore/RequestOrderRefTag.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/wstore/RequestServlet.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/wstore/RequestTypeTag.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/wstore/RfQServlet.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/wstore/SearchServlet.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/wstore/SingleItem.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/wstore/StoreFilter.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/wstore/UpdateServlet.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/wstore/WorkflowServlet.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/wstore/WorkflowTag.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/www/Test.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/www/Test2.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/www/WAccount.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/www/WAttachment.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/www/WChat.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/www/WError.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/www/WFieldUpdate.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/www/WFilter.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/www/WFindAdv.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/www/WForm.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/www/WHelp.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/www/WLocation.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/www/WLogin.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/www/WLookup.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/www/WMenu.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/www/WProcess.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/www/WProcessCtl.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/www/WReport.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/www/WStart.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/www/WStatus.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/www/WStatusArrayList.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/www/WTask.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/www/WTest.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/www/WValuePreference.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/www/WWindow.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/www/WWindowStatus.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/www/WWorkflow.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverApps/src/main/servlet/org/compiere/www/WZoom.java	javax.servlet	jakarta-web	serverApps	migrate	5f
serverRoot/build.xml	javax.servlet	jakarta-web	serverRoot	migrate	5f
serverRoot/src/main/servlet/org/compiere/web/AdempiereMonitor.java	javax.servlet	jakarta-web	serverRoot	migrate	5f
serverRoot/src/main/servlet/org/compiere/web/AdempiereMonitorFilter.java	javax.servlet	jakarta-web	serverRoot	migrate	5f
serverRoot/src/main/servlet/org/compiere/web/ServerStatus.java	javax.servlet	jakarta-web	serverRoot	migrate	5f
serverRoot/src/main/servlet/org/compiere/web/StatusInfo.java	javax.servlet	jakarta-web	serverRoot	migrate	5f
tools/build.xml	javax.servlet	jakarta-web	tools	migrate	5f
tools/lib/ant/apache-ant-1.10.10/fetch.xml	javax.servlet	jakarta-web	tools	migrate	5f
webCM/build.xml	javax.servlet	jakarta-web	webCM	migrate	5f
webCM/src/main/servlet/org/compiere/cm/AdRedirector.java	javax.servlet	jakarta-web	webCM	migrate	5f
webCM/src/main/servlet/org/compiere/cm/Broadcast.java	javax.servlet	jakarta-web	webCM	migrate	5f
webCM/src/main/servlet/org/compiere/cm/Community.java	javax.servlet	jakarta-web	webCM	migrate	5f
webCM/src/main/servlet/org/compiere/cm/Extend.java	javax.servlet	jakarta-web	webCM	migrate	5f
webCM/src/main/servlet/org/compiere/cm/HttpServletCM.java	javax.servlet	jakarta-web	webCM	migrate	5f
webCM/src/main/servlet/org/compiere/cm/MediaBroadcast.java	javax.servlet	jakarta-web	webCM	migrate	5f
webCM/src/main/servlet/org/compiere/cm/RequestServlet.java	javax.servlet	jakarta-web	webCM	migrate	5f
webCM/src/main/servlet/org/compiere/cm/StageBroadcast.java	javax.servlet	jakarta-web	webCM	migrate	5f
webCM/src/main/servlet/org/compiere/cm/XMLBroadcast.java	javax.servlet	jakarta-web	webCM	migrate	5f
webCM/src/main/servlet/org/compiere/cm/cache/Service.java	javax.servlet	jakarta-web	webCM	migrate	5f
webCM/src/main/servlet/org/compiere/cm/extend/indexSearch.java	javax.servlet	jakarta-web	webCM	migrate	5f
webCM/src/main/servlet/org/compiere/cm/request/Request.java	javax.servlet	jakarta-web	webCM	migrate	5f
webCM/src/main/servlet/org/compiere/cm/utils/AccessLogger.java	javax.servlet	jakarta-web	webCM	migrate	5f
webCM/src/main/servlet/org/compiere/cm/utils/Attributes.java	javax.servlet	jakarta-web	webCM	migrate	5f
webCM/src/main/servlet/org/compiere/cm/utils/Counter.java	javax.servlet	jakarta-web	webCM	migrate	5f
webCM/src/main/servlet/org/compiere/cm/utils/RequestAnalyzer.java	javax.servlet	jakarta-web	webCM	migrate	5f
webCM/src/main/servlet/org/compiere/cm/xml/Generator.java	javax.servlet	jakarta-web	webCM	migrate	5f
webCM/src/main/servlet/org/compiere/cm/xml/XSLTProcessor.java	javax.servlet	jakarta-web	webCM	migrate	5f
webStore/src/web/WEB-INF/c.tld	javax.servlet	jakarta-web	webStore	migrate	5f
webStore/src/web/WEB-INF/fmt.tld	javax.servlet	jakarta-web	webStore	migrate	5f
webStore/src/web/WEB-INF/sql.tld	javax.servlet	jakarta-web	webStore	migrate	5f
webStore/src/web/WEB-INF/x.tld	javax.servlet	jakarta-web	webStore	migrate	5f
webStore/src/web/assets.jsp	javax.servlet	jakarta-web	webStore	migrate	5f
webStore/src/web/basket.jsp	javax.servlet	jakarta-web	webStore	migrate	5f
webStore/src/web/commissionRuns.jsp	javax.servlet	jakarta-web	webStore	migrate	5f
webStore/src/web/commissionedInvoices.jsp	javax.servlet	jakarta-web	webStore	migrate	5f
webStore/src/web/confirm.jsp	javax.servlet	jakarta-web	webStore	migrate	5f
webStore/src/web/expense.jsp	javax.servlet	jakarta-web	webStore	migrate	5f
webStore/src/web/expenses.jsp	javax.servlet	jakarta-web	webStore	migrate	5f
webStore/src/web/index.jsp	javax.servlet	jakarta-web	webStore	migrate	5f
webStore/src/web/info.jsp	javax.servlet	jakarta-web	webStore	migrate	5f
webStore/src/web/invoiceLines.jsp	javax.servlet	jakarta-web	webStore	migrate	5f
webStore/src/web/invoices.jsp	javax.servlet	jakarta-web	webStore	migrate	5f
webStore/src/web/notes.jsp	javax.servlet	jakarta-web	webStore	migrate	5f
webStore/src/web/orderDetails.jsp	javax.servlet	jakarta-web	webStore	migrate	5f
webStore/src/web/orders.jsp	javax.servlet	jakarta-web	webStore	migrate	5f
webStore/src/web/payments.jsp	javax.servlet	jakarta-web	webStore	migrate	5f
webStore/src/web/registrations.jsp	javax.servlet	jakarta-web	webStore	migrate	5f
webStore/src/web/requestDetails.jsp	javax.servlet	jakarta-web	webStore	migrate	5f
webStore/src/web/requestTypes.jsp	javax.servlet	jakarta-web	webStore	migrate	5f
webStore/src/web/requests.jsp	javax.servlet	jakarta-web	webStore	migrate	5f
webStore/src/web/requestsAll.jsp	javax.servlet	jakarta-web	webStore	migrate	5f
webStore/src/web/requests_sr.jsp	javax.servlet	jakarta-web	webStore	migrate	5f
webStore/src/web/rfqDetails.jsp	javax.servlet	jakarta-web	webStore	migrate	5f
webStore/src/web/rfqs.jsp	javax.servlet	jakarta-web	webStore	migrate	5f
webStore/src/web/shipments.jsp	javax.servlet	jakarta-web	webStore	migrate	5f
webStore/src/web/template.jsp	javax.servlet	jakarta-web	webStore	migrate	5f
zkwebui/src/transformerFixture/java/org/adempiere/webui/phase5c/LegacyFilterFixture.java	javax.servlet	jakarta-web	zkwebui	migrate	5f
base/src/org/compiere/model/MClient.java	javax.mail	non-web-jakarta	base	defer	post-phase5
base/src/org/compiere/model/MUser.java	javax.mail	non-web-jakarta	base	defer	post-phase5
base/src/org/compiere/util/EMail.java	javax.mail	non-web-jakarta	base	defer	post-phase5
base/src/org/compiere/util/EMailAuthenticator.java	javax.mail	non-web-jakarta	base	defer	post-phase5
base/src/org/compiere/util/WebUtil.java	javax.mail	non-web-jakarta	base	defer	post-phase5
gradle/verification-metadata.xml	javax.mail	non-web-jakarta	gradle	defer	post-phase5
install/Adempiere/build.xml	javax.mail	non-web-jakarta	install	defer	post-phase5
install/src/org/compiere/install/ConfigurationData.java	javax.mail	non-web-jakarta	install	defer	post-phase5
org.adempiere.request/src/main/java/org/compiere/request/process/RequestEMailProcessor.java	javax.mail	non-web-jakarta	org.adempiere.request	defer	post-phase5
org.compiere.mobile/WEB-INF/src/org/compiere/mobile/MobileUtil.java	javax.mail	non-web-jakarta	org.compiere.mobile	defer	post-phase5
base/src/org/adempiere/process/rpl/exp/MultiplePublisher.java	javax.jms	non-web-jakarta	base	defer	post-phase5
base/src/org/adempiere/process/rpl/exp/TopicExportProcessor.java	javax.jms	non-web-jakarta	base	defer	post-phase5
base/src/org/spin/util/support/mq/ActiveMQ.java	javax.jms	non-web-jakarta	base	defer	post-phase5
serverRoot/build.xml	javax.jms	non-web-jakarta	serverRoot	defer	post-phase5
serverRoot/src/main/server/org/adempiere/server/rpl/imp/TopicListener.java	javax.jms	non-web-jakarta	serverRoot	defer	post-phase5
tools/build.xml	javax.jms	non-web-jakarta	tools	defer	post-phase5
JasperReportsWebApp/src/org/compiere/ejb/MD5Bean.java	javax.ejb	non-web-jakarta	JasperReportsWebApp	defer	post-phase5
base/src/org/compiere/interfaces/MD5.java	javax.ejb	non-web-jakarta	base	defer	post-phase5
base/src/org/compiere/interfaces/ServerLocal.java	javax.ejb	non-web-jakarta	base	defer	post-phase5
base/src/org/compiere/interfaces/ServerRemote.java	javax.ejb	non-web-jakarta	base	defer	post-phase5
base/src/org/compiere/interfaces/StatusLocal.java	javax.ejb	non-web-jakarta	base	defer	post-phase5
base/src/org/compiere/interfaces/StatusRemote.java	javax.ejb	non-web-jakarta	base	defer	post-phase5
serverRoot/src/main/ejb/org/compiere/session/ServerBean.java	javax.ejb	non-web-jakarta	serverRoot	defer	post-phase5
serverRoot/src/main/ejb/org/compiere/session/StatusBean.java	javax.ejb	non-web-jakarta	serverRoot	defer	post-phase5
gradle/verification-metadata.xml	javax.annotation	non-web-jakarta	gradle	defer	post-phase5
serverRoot/build.xml	javax.annotation	non-web-jakarta	serverRoot	defer	post-phase5
serverRoot/src/main/ejb/org/compiere/session/ServerBean.java	javax.annotation	non-web-jakarta	serverRoot	defer	post-phase5
serverRoot/src/main/ejb/org/compiere/session/StatusBean.java	javax.annotation	non-web-jakarta	serverRoot	defer	post-phase5
tools/build.xml	javax.annotation	non-web-jakarta	tools	defer	post-phase5
base/src/org/compiere/model/MAttachment.java	javax.activation	non-web-jakarta	base	defer	post-phase5
base/src/org/compiere/util/ByteArrayDataSource.java	javax.activation	non-web-jakarta	base	defer	post-phase5
base/src/org/compiere/util/EMail.java	javax.activation	non-web-jakarta	base	defer	post-phase5
gradle/verification-metadata.xml	javax.activation	non-web-jakarta	gradle	defer	post-phase5
tools/build.xml	javax.activation	non-web-jakarta	tools	defer	post-phase5
.idea/uiDesigner.xml	javax.swing	java-se	.idea	retain	never
base/phase2-smoke/src/test/java/org/adempiere/phase2/SemanticSwingSmokeTest.java	javax.swing	java-se	base	retain	never
base/src/com/akunagroup/uk/postcode/AddressLookup.java	javax.swing	java-se	base	retain	never
base/src/org/compiere/db/CConnection.java	javax.swing	java-se	base	retain	never
base/src/org/compiere/model/GridTab.java	javax.swing	java-se	base	retain	never
base/src/org/compiere/model/GridTable.java	javax.swing	java-se	base	retain	never
base/src/org/compiere/model/GridWindow.java	javax.swing	java-se	base	retain	never
base/src/org/compiere/model/GridWorkbench.java	javax.swing	java-se	base	retain	never
base/src/org/compiere/model/Lookup.java	javax.swing	java-se	base	retain	never
base/src/org/compiere/model/MImage.java	javax.swing	java-se	base	retain	never
base/src/org/compiere/model/MTree.java	javax.swing	java-se	base	retain	never
base/src/org/compiere/model/MTreeNode.java	javax.swing	java-se	base	retain	never
base/src/org/compiere/print/PrintUtil.java	javax.swing	java-se	base	retain	never
base/src/org/compiere/print/layout/HTMLRenderer.java	javax.swing	java-se	base	retain	never
base/src/org/compiere/process/MigrationToXML.java	javax.swing	java-se	base	retain	never
base/src/org/compiere/report/MReportTree.java	javax.swing	java-se	base	retain	never
base/src/org/compiere/util/ASyncWorker.java	javax.swing	java-se	base	retain	never
base/src/org/compiere/util/DB.java	javax.swing	java-se	base	retain	never
base/src/org/compiere/util/Env.java	javax.swing	java-se	base	retain	never
base/src/org/compiere/util/ExtensionFileFilter.java	javax.swing	java-se	base	retain	never
base/src/org/compiere/util/Login.java	javax.swing	java-se	base	retain	never
base/src/org/compiere/util/Util.java	javax.swing	java-se	base	retain	never
client/src/org/adempiere/Adempiere.java	javax.swing	java-se	client	retain	never
client/src/org/adempiere/apps/graph/FCHtmlEditorKit.java	javax.swing	java-se	client	retain	never
client/src/org/adempiere/apps/graph/HtmlDashboard.java	javax.swing	java-se	client	retain	never
client/src/org/adempiere/apps/graph/PAPanel.java	javax.swing	java-se	client	retain	never
client/src/org/adempiere/apps/graph/PerformanceIndicator.java	javax.swing	java-se	client	retain	never
client/src/org/adempiere/apps/graph/ViewPI.java	javax.swing	java-se	client	retain	never
client/src/org/adempiere/pdf/viewer/PDFViewerBean.java	javax.swing	java-se	client	retain	never
client/src/org/adempiere/plaf/AdempiereButtonListener.java	javax.swing	java-se	client	retain	never
client/src/org/adempiere/plaf/AdempiereComboBoxUI.java	javax.swing	java-se	client	retain	never
client/src/org/adempiere/plaf/AdempiereComboPopup.java	javax.swing	java-se	client	retain	never
client/src/org/adempiere/plaf/AdempiereLabelUI.java	javax.swing	java-se	client	retain	never
client/src/org/adempiere/plaf/AdempiereLookAndFeel.java	javax.swing	java-se	client	retain	never
client/src/org/adempiere/plaf/AdempierePLAF.java	javax.swing	java-se	client	retain	never
client/src/org/adempiere/plaf/AdempiereTabbedPaneUI.java	javax.swing	java-se	client	retain	never
client/src/org/adempiere/plaf/AdempiereTaskPaneUI.java	javax.swing	java-se	client	retain	never
client/src/org/adempiere/plaf/AdempiereTheme.java	javax.swing	java-se	client	retain	never
client/src/org/adempiere/plaf/AdempiereThemeInnova.java	javax.swing	java-se	client	retain	never
client/src/org/adempiere/plaf/PLAFEditor.java	javax.swing	java-se	client	retain	never
client/src/org/adempiere/plaf/PLAFEditorPanel.java	javax.swing	java-se	client	retain	never
client/src/org/compiere/acct/AcctViewer.java	javax.swing	java-se	client	retain	never
client/src/org/compiere/acct/AcctViewerData.java	javax.swing	java-se	client	retain	never
client/src/org/compiere/apps/AArchive.java	javax.swing	java-se	client	retain	never
client/src/org/compiere/apps/AChat.java	javax.swing	java-se	client	retain	never
client/src/org/compiere/apps/ADialog.java	javax.swing	java-se	client	retain	never
client/src/org/compiere/apps/ADialogDialog.java	javax.swing	java-se	client	retain	never
client/src/org/compiere/apps/AEnv.java	javax.swing	java-se	client	retain	never
client/src/org/compiere/apps/AExport.java	javax.swing	java-se	client	retain	never
client/src/org/compiere/apps/AFocusTraversalPolicy.java	javax.swing	java-se	client	retain	never
client/src/org/compiere/apps/AGlassPane.java	javax.swing	java-se	client	retain	never
client/src/org/compiere/apps/ALogin.java	javax.swing	java-se	client	retain	never
client/src/org/compiere/apps/ALoginTest.java	javax.swing	java-se	client	retain	never
client/src/org/compiere/apps/AMenu.java	javax.swing	java-se	client	retain	never
client/src/org/compiere/apps/AMenuStartItem.java	javax.swing	java-se	client	retain	never
client/src/org/compiere/apps/APanel.java	javax.swing	java-se	client	retain	never
client/src/org/compiere/apps/AProcessAction.java	javax.swing	java-se	client	retain	never
client/src/org/compiere/apps/ARequest.java	javax.swing	java-se	client	retain	never
client/src/org/compiere/apps/ASearch.java	javax.swing	java-se	client	retain	never
client/src/org/compiere/apps/AStart.java	javax.swing	java-se	client	retain	never
client/src/org/compiere/apps/ATask.java	javax.swing	java-se	client	retain	never
client/src/org/compiere/apps/AZoomAcross.java	javax.swing	java-se	client	retain	never
client/src/org/compiere/apps/AboutBox.java	javax.swing	java-se	client	retain	never
client/src/org/compiere/apps/AppsAction.java	javax.swing	java-se	client	retain	never
client/src/org/compiere/apps/Attachment.java	javax.swing	java-se	client	retain	never
client/src/org/compiere/apps/BeanShellEditor.java	javax.swing	java-se	client	retain	never
client/src/org/compiere/apps/ConfirmPanel.java	javax.swing	java-se	client	retain	never
client/src/org/compiere/apps/DeleteSelection.java	javax.swing	java-se	client	retain	never
client/src/org/compiere/apps/FieldRecordInfo.java	javax.swing	java-se	client	retain	never
client/src/org/compiere/apps/GroovyEditor.java	javax.swing	java-se	client	retain	never
client/src/org/compiere/apps/Help.java	javax.swing	java-se	client	retain	never
client/src/org/compiere/apps/OnlineHelp.java	javax.swing	java-se	client	retain	never
client/src/org/compiere/apps/Preference.java	javax.swing	java-se	client	retain	never
client/src/org/compiere/apps/ProcessCtl.java	javax.swing	java-se	client	retain	never
client/src/org/compiere/apps/ProcessPanel.java	javax.swing	java-se	client	retain	never
client/src/org/compiere/apps/RecordInfo.java	javax.swing	java-se	client	retain	never
client/src/org/compiere/apps/ScreenShot.java	javax.swing	java-se	client	retain	never
client/src/org/compiere/apps/StatusBar.java	javax.swing	java-se	client	retain	never
client/src/org/compiere/apps/SwingWorker.java	javax.swing	java-se	client	retain	never
client/src/org/compiere/apps/TabSwitcher.java	javax.swing	java-se	client	retain	never
client/src/org/compiere/apps/Waiting.java	javax.swing	java-se	client	retain	never
client/src/org/compiere/apps/WindowMenu.java	javax.swing	java-se	client	retain	never
client/src/org/compiere/apps/form/ArchiveViewer.java	javax.swing	java-se	client	retain	never
